categoria,regiao,estado,mesoregiao,modelo,ano_modelo,is_media,expostos,premio_medio,arrecadacao,freq_inc_roub,inc_roub_relativo,valor_inc_roub,freq_coli,valor_coli,freq_outras,valor_outras,ano
Passeio nacional,AL - Alagoas,AL,SERTAO ALAGOANO,Ford - Fiesta 1.6 8V Flex 5p,Todos,31135,298,857,255386,2,0.006711409,29105,32,61003,34,7090,2011
Passeio nacional,AM - Amazonas,AM,CENTRO AMAZONENSE,Ford - Fiesta 1.6 8V Flex 5p,Todos,29340,238,869,206822,0,0,0,25,86931,45,4221,2012
Passeio nacional,AM - Amazonas,AM,CENTRO AMAZONENSE,Ford - Fiesta 1.6 8V Flex 5p,Todos,28322,292,997,291124,0,0,0,34,168449,16,1848,2013
Passeio nacional,AM - Amazonas,AM,CENTRO AMAZONENSE,Ford - Fiesta 1.6 8V Flex 5p,Todos,30753,202,861,173922,1,0.004950495,627,14,85181,24,2928,2011
Passeio nacional,AM - Amazonas,AM,CENTRO AMAZONENSE,Ford - Fiesta 1.6 8V Flex 5p,Todos,24680,153,937,143361,1,0.006535948,786,10,75727,24,23832,2015
Passeio nacional,AM - Amazonas,AM,CENTRO AMAZONENSE,Ford - Fiesta 1.6 8V Flex 5p,Todos,31598,248,966,239568,2,0.008064516,3541,20,82170,24,2253,2010
Passeio nacional,AM - Amazonas,AM,CENTRO AMAZONENSE,Ford - Fiesta 1.6 8V Flex 5p,Todos,26402,227,925,209975,2,0.008810573,1128,20,170029,37,6884,2014
Passeio nacional,AP - Amapa,AP,SUL DO AMAPA,Ford - Fiesta 1.6 8V Flex 5p,Todos,28373,42,521,21882,0,0,0,3,4934,1,512,2011
Passeio nacional,AP - Amapa,AP,SUL DO AMAPA,Ford - Fiesta 1.6 8V Flex 5p,Todos,27596,56,723,40488,0,0,0,4,10887,0,0,2012
Passeio nacional,AP - Amapa,AP,SUL DO AMAPA,Ford - Fiesta 1.6 8V Flex 5p,Todos,28587,61,886,54046,0,0,0,3,10439,0,0,2013
Passeio nacional,AP - Amapa,AP,SUL DO AMAPA,Ford - Fiesta 1.6 8V Flex 5p,Todos,23344,42,836,35112,0,0,0,4,13691,0,0,2014
Passeio nacional,AP - Amapa,AP,SUL DO AMAPA,Ford - Fiesta 1.6 8V Flex 5p,Todos,21577,33,678,22374,0,0,0,3,11499,0,0,2015
